종목코드,종목명,기사제목
5930,삼성전자,"[특징주] 삼성전자·SK하이닉스, 9월 첫날부터 동반 폭락 / 삼성전자·SK하이닉스, 미국·중국발 잇단 '악재'에 하락 / [특징주] 美中 동시 악재에…삼성전자·SK하이닉스 나란히 약세 / 삼성전자·SK하이닉스 드디어 동반 성장? / 美, 반도체 장비 中 반입 규제…삼성전자 하이닉스 장 초반 하락세"
660,SK하이닉스,"SK하이닉스 직원들 1억 인센티브 받나…노사, 성과급 상한 폐지 잠정합의 / SK하이닉스 성과급 상한제 폐지, 1억원 인센티브 가능해졌다 / SK하이닉스 노사, 임금협상 잠정 합의…성과급 상한 폐지 / '1인당 1억씩' 성과급 받는다…SK하이닉스 노사협상 잠정합의 / SK하이닉스 노사, 6% 임금인상 잠정합의…성과급 상한도 폐지"
373220,LG에너지솔루션,Kim Long Motors orders cells from LG Energy Solution / LG Energy Solution secures battery supply deal with Vietnam's Kim Long Motor / Tesla taps LG Energy for $4.3 billion energy storage deal / LG에너지솔루션 ‘인터배터리 어워즈 2025’ 수상 / South Korean firms pledge $150 billion in US investments at summit
207940,삼성바이오로직스,"삼성바이오로직스, 인적분할 순항…'순수 CDMO'로 글로벌 전환 / 삼성바이오, 존림 대표·유승호 부사장 첫 주식 매입 / '유럽서 884억 수주' 삼성바이오로직스…두번째 '자율 공시' / 삼성바이오로직스 분할 일정 변경 / '인적분할'앞둔 삼성바이오로직스, 홀딩스 재상장 한달 늦춰져"
12450,한화에어로스페이스,"한화에어로 호주 공장 1주년…레드백 시설 확장 속도 / 방산의 미래는 무인화에…무인 무기 시장 준비하는 K-방산 / 한화·현대로템·KAI, 폴란드 집결…차세대 무기 앞세워 경쟁력 과시 / 동유럽 최대 방산 전시회에 국내 방산株 뜬다…한화에어로, 5% 급등 / 한화에어로, 누리호 기술 이전 받아 우주 사업 확장한다"
329180,HD현대중공업,"HD현대, 조선 계열사 현중·미포 합병 추진…'마스가 속도 낸다' / HD현대중공업 노조, 임단협·합병 두고 올 5번째 파업 / HD현대중공업·HD현대미포 합병… '방산 역량 강화' / HD현대 '설계·생산 일관화 통합 플랫폼' 구축 박차 / HD현대, SK해운과 인공지능 화물 운영 설루션 실증 나선다"
5380,현대차,"현대차, 美 메타플랜트 CEO 교체…허태양 생산실장 선임 / 현대차 '美생산 확대' 특명···메타플랜트 수장에 허태양 / 현대차 아이오닉3, 애플 카플레이 울트라 지원 / [속보] 현대차그룹, 미국에 4년간 260억달러 전략 투자…50만대 생산 / ‘관세 피해 직격’ 자동차협력사에 6300억 원의 우대금융 지원"
270,기아,"기아, 2025년 하반기 집중 채용 실시 / 기아, 2025년 하반기 집중 채용 진행 / Hyundai and Kia haven't raised their U.S. prices yet. Can that last? / South Korea's Kia cuts EV sales target by more than 20% for 2030 / 2025 Kia CEO Investor Day"
105560,KB금융,"[마켓인]KB증권, 회사채 수요예측에 1.7兆 몰려 / 20주년 'KB금융 스타챔피언십' 4일 개막…총상금 15억원 / KB Financial Group Releases 2025 First Half Business Report / KB Financial: Q2 Earnings Snapshot / 수장이 직접 뛴다… 신한이 쏘아올린 금융그룹 외부감사인 경쟁"
68270,셀트리온,"셀트리온, 다잘렉스 바이오시밀러 유럽 임상 3상 진입 / 셀트리온, '16조 규모' 다잘렉스SC 바이오시밀러 CT-P44 임상 3상 진입 분석 / Celltrion gets EMA nod for phase 3 trial of Darzalex biosimilar / 셀트리온, 베트남 본격 진출…“올해 4개 제품 출시” / South Korea's Celltrion says tapped to buy US pharma factory to offset tariff risk"
